transaction_id,date,day_of_week,time,daypart,store_id,city,neighborhood,country,product,category,subcategory,unit_price_usd,quantity,gross_total_usd,discount_pct,net_total_usd,profit_usd,margin_pct,payment_method,customer_id,loyalty_tier,stars_earned,season,weather
TXN-0025,2024-10-26,Saturday,18:10,Evening,STR-NYC-01,New York,Manhattan,USA,Marshmallow Dream Bar,Food,Snacks,2.95,1,2.95,15,2.51,2.15,72.9,App,CUST-02438,Green,1,Fall,Sunny
TXN-0026,2024-12-11,Wednesday,20:36,Evening,STR-LA-02,Los Angeles,Santa Monica,USA,Espresso,Beverages,Hot Coffee,2.95,1,2.95,0,2.95,2.35,79.7,App,CUST-01718,Green,3,Winter,Windy
TXN-0027,2024-10-16,Wednesday,09:42,Mid Morning,STR-SEA-01,Seattle,Capitol Hill,USA,Bottled Water,Merchandise,Drinks,2.45,1,2.45,0,2.45,2.05,83.7,Cash,CUST-01873,Gold,1,Fall,Rainy
TXN-0028,2024-02-07,Wednesday,21:06,Evening,STR-NYC-02,New York,Brooklyn,USA,Caramel Macchiato,Beverages,Hot Coffee,6.45,1,6.45,0,6.45,4.65,72.1,Card,CUST-01430,Platinum,2,Winter,Sunny
TXN-0029,2024-05-05,Sunday,11:34,Mid Morning,STR-CHI-01,Chicago,The Loop,USA,Birthday Cake Pop,Food,Snacks,1.75,1,1.75,0,1.75,1.2,68.6,App,CUST-02736,Platinum,3,Spring,Windy
TXN-0030,2024-06-02,Sunday,08:07,Morning Rush,STR-NYC-02,New York,Brooklyn,USA,Iced Latte,Beverages,Cold Coffee,5.75,3,17.25,5,16.39,12.75,73.9,Cash,CUST-02478,Green,6,Summer,Cloudy
TXN-0031,2024-06-24,Monday,18:32,Evening,STR-MIA-01,Miami,South Beach,USA,Americano,Beverages,Hot Coffee,3.45,2,6.9,0,6.9,5.4,78.3,Contactless,CUST-01134,Green,2,Summer,Sunny
TXN-0032,2024-01-02,Tuesday,15:16,Afternoon,STR-LA-01,Los Angeles,Downtown,USA,Bacon & Gouda Sandwich,Food,Sandwiches,5.25,2,10.5,5,9.97,6.9,65.7,Contactless,CUST-02298,Platinum,6,Winter,Sunny
TXN-0033,2024-02-27,Tuesday,16:09,Afternoon,STR-AUS-01,Austin,Downtown,USA,Cold Brew,Beverages,Cold Coffee,4.75,3,14.25,0,14.25,10.95,76.8,Card,CUST-01761,Gold,9,Winter,Cloudy
TXN-0034,2024-01-22,Monday,19:55,Evening,STR-NYC-01,New York,Manhattan,USA,Chocolate Croissant,Food,Bakery,4.45,1,4.45,10,4.0,2.95,66.3,Card,CUST-02732,Green,3,Winter,Sunny
TXN-0035,2024-06-30,Sunday,11:39,Mid Morning,STR-LA-01,Los Angeles,Downtown,USA,Impossible Breakfast Sandwich,Food,Sandwiches,6.45,3,19.35,10,17.42,12.75,65.9,Card,CUST-01689,Green,3,Summer,Sunny
TXN-0036,2024-04-01,Monday,11:42,Mid Morning,STR-LA-02,Los Angeles,Santa Monica,USA,Bacon & Gouda Sandwich,Food,Sandwiches,5.25,2,10.5,0,10.5,6.9,65.7,Contactless,CUST-00159,Platinum,2,Spring,Snowy
TXN-0037,2024-04-23,Tuesday,12:19,Lunch,STR-LA-02,Los Angeles,Santa Monica,USA,Espresso,Beverages,Hot Coffee,2.95,2,5.9,0,5.9,4.7,79.7,Contactless,CUST-01345,Platinum,2,Spring,Rainy
TXN-0038,2024-02-05,Monday,12:43,Lunch,STR-AUS-01,Austin,Downtown,USA,Chai Tea Latte,Beverages,Tea,5.45,1,5.45,0,5.45,4.05,74.3,Cash,CUST-00732,Green,1,Winter,Windy
TXN-0039,2024-05-15,Wednesday,11:46,Mid Morning,STR-SEA-01,Seattle,Capitol Hill,USA,Cold Brew,Beverages,Cold Coffee,4.75,1,4.75,0,4.75,3.65,76.8,Contactless,CUST-02362,Platinum,1,Spring,Cloudy
TXN-0040,2024-05-10,Friday,06:59,Morning Rush,STR-AUS-01,Austin,Downtown,USA,Cold Brew,Beverages,Cold Coffee,4.75,2,9.5,0,9.5,7.3,76.8,Card,CUST-01492,Platinum,6,Spring,Snowy
TXN-0041,2024-02-05,Monday,15:07,Afternoon,STR-CHI-01,Chicago,The Loop,USA,Bacon & Gouda Sandwich,Food,Sandwiches,5.25,2,10.5,0,10.5,6.9,65.7,Cash,CUST-01649,Platinum,4,Winter,Rainy
TXN-0042,2024-10-10,Thursday,15:24,Afternoon,STR-LA-01,Los Angeles,Downtown,USA,Pike Place Roast,Beverages,Hot Coffee,3.65,1,3.65,0,3.65,2.8,76.7,App,CUST-01245,Gold,2,Fall,Rainy
TXN-0043,2024-04-17,Wednesday,14:20,Afternoon,STR-MIA-01,Miami,South Beach,USA,Vanilla Bean Scone,Food,Bakery,3.45,2,6.9,0,6.9,4.9,71.0,Contactless,CUST-00696,Platinum,2,Spring,Sunny
TXN-0044,2024-05-25,Saturday,15:05,Afternoon,STR-LA-02,Los Angeles,Santa Monica,USA,Bottled Water,Merchandise,Drinks,2.45,2,4.9,0,4.9,4.1,83.7,Card,CUST-00101,Green,2,Spring,Sunny
TXN-0045,2024-05-05,Sunday,16:29,Afternoon,STR-SEA-02,Seattle,Pike Place,USA,Marshmallow Dream Bar,Food,Snacks,2.95,2,5.9,10,5.31,4.3,72.9,Contactless,CUST-02025,Platinum,2,Spring,Snowy
TXN-0046,2024-05-04,Saturday,06:48,Morning Rush,STR-NYC-02,New York,Brooklyn,USA,Americano,Beverages,Hot Coffee,3.45,2,6.9,5,6.55,5.4,78.3,Contactless,CUST-00206,Green,2,Spring,Windy
TXN-0047,2024-05-07,Tuesday,17:42,Evening,STR-AUS-01,Austin,Downtown,USA,Pike Place Roast,Beverages,Hot Coffee,3.65,1,3.65,15,3.1,2.8,76.7,Contactless,CUST-02510,Platinum,2,Spring,Windy
TXN-0048,2024-08-06,Tuesday,09:55,Mid Morning,STR-MIA-01,Miami,South Beach,USA,Impossible Breakfast Sandwich,Food,Sandwiches,6.45,1,6.45,0,6.45,4.25,65.9,Cash,CUST-02136,Green,3,Summer,Snowy
TXN-0049,2024-11-16,Saturday,08:18,Morning Rush,STR-LA-02,Los Angeles,Santa Monica,USA,Espresso,Beverages,Hot Coffee,2.95,1,2.95,0,2.95,2.35,79.7,App,CUST-00567,Gold,3,Fall,Cloudy
TXN-0050,2024-04-28,Sunday,16:04,Afternoon,STR-SEA-02,Seattle,Pike Place,USA,Spinach Feta Wrap,Food,Sandwiches,5.75,2,11.5,0,11.5,7.7,67.0,Contactless,CUST-00256,Platinum,4,Spring,Cloudy
TXN-0051,2024-08-03,Saturday,14:44,Afternoon,STR-NYC-01,New York,Manhattan,USA,Chocolate Croissant,Food,Bakery,4.45,3,13.35,10,12.02,8.85,66.3,Contactless,CUST-00025,Platinum,6,Summer,Rainy
TXN-0052,2024-06-01,Saturday,20:26,Evening,STR-AUS-01,Austin,Downtown,USA,Chocolate Croissant,Food,Bakery,4.45,3,13.35,5,12.68,8.85,66.3,Card,CUST-02000,Platinum,9,Summer,Cloudy
TXN-0053,2024-05-19,Sunday,10:42,Mid Morning,STR-SEA-02,Seattle,Pike Place,USA,Vanilla Bean Scone,Food,Bakery,3.45,1,3.45,5,3.28,2.45,71.0,App,CUST-01614,Gold,1,Spring,Windy
TXN-0054,2024-10-15,Tuesday,11:55,Mid Morning,STR-MIA-01,Miami,South Beach,USA,Caramel Macchiato,Beverages,Hot Coffee,6.45,1,6.45,0,6.45,4.65,72.1,Cash,CUST-00867,Gold,2,Fall,Snowy
TXN-0055,2024-06-16,Sunday,10:48,Mid Morning,STR-SEA-02,Seattle,Pike Place,USA,Nitro Cold Brew,Beverages,Cold Coffee,5.45,2,10.9,0,10.9,8.3,76.1,App,CUST-02210,Green,4,Summer,Sunny
TXN-0056,2024-06-28,Friday,17:41,Evening,STR-NYC-01,New York,Manhattan,USA,Vanilla Latte,Beverages,Hot Coffee,5.95,2,11.9,5,11.3,8.7,73.1,App,CUST-02545,Green,2,Summer,Cloudy
TXN-0057,2024-05-02,Thursday,08:13,Morning Rush,STR-MIA-01,Miami,South Beach,USA,Americano,Beverages,Hot Coffee,3.45,1,3.45,0,3.45,2.7,78.3,App,CUST-00671,Gold,1,Spring,Rainy
TXN-0058,2024-02-25,Sunday,14:58,Afternoon,STR-SEA-02,Seattle,Pike Place,USA,Caramel Macchiato,Beverages,Hot Coffee,6.45,3,19.35,0,19.35,13.95,72.1,App,CUST-02426,Platinum,3,Winter,Cloudy
TXN-0059,2024-02-22,Thursday,14:07,Afternoon,STR-BOS-01,Boston,Back Bay,USA,Chocolate Croissant,Food,Bakery,4.45,3,13.35,5,12.68,8.85,66.3,Contactless,CUST-02710,Gold,9,Winter,Rainy
TXN-0060,2024-02-05,Monday,06:26,Morning Rush,STR-MIA-01,Miami,South Beach,USA,Bottled Water,Merchandise,Drinks,2.45,2,4.9,0,4.9,4.1,83.7,Contactless,CUST-02898,Gold,6,Winter,Cloudy
TXN-0061,2024-08-10,Saturday,20:17,Evening,STR-BOS-01,Boston,Back Bay,USA,Pike Place Roast,Beverages,Hot Coffee,3.65,2,7.3,5,6.93,5.6,76.7,Contactless,CUST-01785,Platinum,4,Summer,Windy
TXN-0062,2024-05-17,Friday,17:05,Evening,STR-CHI-01,Chicago,The Loop,USA,Bacon & Gouda Sandwich,Food,Sandwiches,5.25,3,15.75,10,14.18,10.35,65.7,Contactless,CUST-01378,Green,6,Spring,Sunny
TXN-0063,2024-09-10,Tuesday,09:51,Mid Morning,STR-CHI-01,Chicago,The Loop,USA,Bacon & Gouda Sandwich,Food,Sandwiches,5.25,1,5.25,0,5.25,3.45,65.7,Cash,CUST-02277,Platinum,3,Fall,Sunny
TXN-0064,2024-09-21,Saturday,16:31,Afternoon,STR-AUS-01,Austin,Downtown,USA,Vanilla Latte,Beverages,Hot Coffee,5.95,1,5.95,5,5.65,4.35,73.1,Contactless,CUST-01836,Platinum,2,Fall,Sunny
TXN-0065,2024-02-17,Saturday,16:19,Afternoon,STR-BOS-01,Boston,Back Bay,USA,Chocolate Croissant,Food,Bakery,4.45,1,4.45,0,4.45,2.95,66.3,Cash,CUST-01743,Platinum,3,Winter,Windy
TXN-0066,2024-06-18,Tuesday,09:16,Mid Morning,STR-LA-02,Los Angeles,Santa Monica,USA,Mango Dragonfruit Lemonade,Beverages,Refreshers,5.45,2,10.9,0,10.9,8.5,78.0,App,CUST-02195,Green,4,Summer,Cloudy
TXN-0067,2024-04-08,Monday,09:37,Mid Morning,STR-AUS-01,Austin,Downtown,USA,Espresso,Beverages,Hot Coffee,2.95,2,5.9,0,5.9,4.7,79.7,Cash,CUST-00932,Green,2,Spring,Rainy
TXN-0068,2024-04-01,Monday,13:17,Lunch,STR-NYC-01,New York,Manhattan,USA,Chocolate Croissant,Food,Bakery,4.45,1,4.45,15,3.78,2.95,66.3,Card,CUST-02613,Platinum,2,Spring,Snowy
TXN-0069,2024-02-22,Thursday,12:28,Lunch,STR-SEA-01,Seattle,Capitol Hill,USA,Caramel Macchiato,Beverages,Hot Coffee,6.45,1,6.45,0,6.45,4.65,72.1,Contactless,CUST-00468,Green,2,Winter,Sunny
TXN-0070,2024-07-24,Wednesday,15:03,Afternoon,STR-LA-01,Los Angeles,Downtown,USA,Spinach Feta Wrap,Food,Sandwiches,5.75,1,5.75,0,5.75,3.85,67.0,App,CUST-01017,Platinum,2,Summer,Sunny
TXN-0071,2024-10-12,Saturday,17:14,Evening,STR-AUS-01,Austin,Downtown,USA,Vanilla Bean Scone,Food,Bakery,3.45,2,6.9,0,6.9,4.9,71.0,Contactless,CUST-01251,Gold,4,Fall,Windy
TXN-0072,2024-11-13,Wednesday,16:48,Afternoon,STR-LA-02,Los Angeles,Santa Monica,USA,Pumpkin Spice Latte,Beverages,Hot Coffee,6.45,2,12.9,0,12.9,9.1,70.5,App,CUST-00644,Gold,6,Fall,Cloudy
TXN-0073,2024-03-29,Friday,06:28,Morning Rush,STR-BOS-01,Boston,Back Bay,USA,Starbucks Tumbler,Merchandise,Drinkware,24.95,1,24.95,0,24.95,16.95,67.9,Cash,CUST-02896,Green,1,Spring,Rainy
TXN-0074,2024-12-25,Wednesday,09:16,Mid Morning,STR-BOS-01,Boston,Back Bay,USA,Impossible Breakfast Sandwich,Food,Sandwiches,6.45,1,6.45,0,6.45,4.25,65.9,App,CUST-02231,Green,2,Winter,Cloudy
TXN-0075,2024-11-27,Wednesday,17:04,Evening,STR-NYC-01,New York,Manhattan,USA,Pike Place Roast,Beverages,Hot Coffee,3.65,3,10.95,0,10.95,8.4,76.7,Cash,CUST-01799,Gold,9,Fall,Sunny
TXN-0076,2024-08-27,Tuesday,20:32,Evening,STR-AUS-01,Austin,Downtown,USA,Chai Tea Latte,Beverages,Tea,5.45,2,10.9,0,10.9,8.1,74.3,App,CUST-01770,Green,6,Summer,Rainy
TXN-0077,2024-11-05,Tuesday,09:43,Mid Morning,STR-BOS-01,Boston,Back Bay,USA,Chai Tea Latte,Beverages,Tea,5.45,1,5.45,0,5.45,4.05,74.3,Cash,CUST-02361,Green,3,Fall,Sunny
TXN-0078,2024-03-30,Saturday,11:17,Mid Morning,STR-LA-01,Los Angeles,Downtown,USA,Marshmallow Dream Bar,Food,Snacks,2.95,1,2.95,15,2.51,2.15,72.9,Contactless,CUST-00374,Gold,3,Spring,Snowy
TXN-0079,2024-06-27,Thursday,15:54,Afternoon,STR-LA-01,Los Angeles,Downtown,USA,Bacon & Gouda Sandwich,Food,Sandwiches,5.25,1,5.25,0,5.25,3.45,65.7,Cash,CUST-02714,Platinum,2,Summer,Snowy
TXN-0080,2024-10-08,Tuesday,10:20,Mid Morning,STR-NYC-02,New York,Brooklyn,USA,Pumpkin Spice Latte,Beverages,Hot Coffee,6.45,1,6.45,15,5.48,4.55,70.5,App,CUST-02694,Gold,3,Fall,Windy
TXN-0081,2024-08-24,Saturday,13:39,Lunch,STR-MIA-01,Miami,South Beach,USA,Bacon & Gouda Sandwich,Food,Sandwiches,5.25,1,5.25,0,5.25,3.45,65.7,Cash,CUST-02250,Green,1,Summer,Cloudy
TXN-0082,2024-05-27,Monday,12:01,Lunch,STR-BOS-01,Boston,Back Bay,USA,Impossible Breakfast Sandwich,Food,Sandwiches,6.45,3,19.35,5,18.38,12.75,65.9,Cash,CUST-02257,Platinum,3,Spring,Sunny
TXN-0083,2024-10-09,Wednesday,21:58,Evening,STR-NYC-02,New York,Brooklyn,USA,Vanilla Bean Scone,Food,Bakery,3.45,1,3.45,0,3.45,2.45,71.0,Card,CUST-02042,Green,3,Fall,Rainy
TXN-0084,2024-09-17,Tuesday,12:30,Lunch,STR-LA-02,Los Angeles,Santa Monica,USA,Chai Tea Latte,Beverages,Tea,5.45,1,5.45,0,5.45,4.05,74.3,Card,CUST-02456,Green,2,Fall,Windy
TXN-0085,2024-03-10,Sunday,17:26,Evening,STR-SEA-01,Seattle,Capitol Hill,USA,Matcha Latte,Beverages,Hot Coffee,6.25,1,6.25,10,5.62,4.55,72.8,App,CUST-01159,Platinum,2,Spring,Rainy
TXN-0086,2024-10-27,Sunday,11:30,Mid Morning,STR-SEA-01,Seattle,Capitol Hill,USA,Marshmallow Dream Bar,Food,Snacks,2.95,3,8.85,0,8.85,6.45,72.9,Contactless,CUST-01319,Platinum,6,Fall,Cloudy
TXN-0087,2024-12-23,Monday,09:49,Mid Morning,STR-SEA-02,Seattle,Pike Place,USA,Espresso,Beverages,Hot Coffee,2.95,1,2.95,0,2.95,2.35,79.7,Contactless,CUST-01582,Platinum,2,Winter,Cloudy
TXN-0088,2024-09-10,Tuesday,20:21,Evening,STR-NYC-02,New York,Brooklyn,USA,Pumpkin Spice Latte,Beverages,Hot Coffee,6.45,1,6.45,10,5.81,4.55,70.5,Contactless,CUST-00063,Gold,1,Fall,Cloudy
TXN-0089,2024-07-28,Sunday,08:50,Morning Rush,STR-CHI-01,Chicago,The Loop,USA,Starbucks Tumbler,Merchandise,Drinkware,24.95,4,99.8,0,99.8,67.8,67.9,App,CUST-01346,Platinum,8,Summer,Windy
TXN-0090,2024-07-13,Saturday,18:31,Evening,STR-AUS-01,Austin,Downtown,USA,Nitro Cold Brew,Beverages,Cold Coffee,5.45,2,10.9,0,10.9,8.3,76.1,Cash,CUST-00932,Green,2,Summer,Sunny
TXN-0091,2024-08-10,Saturday,16:06,Afternoon,STR-MIA-01,Miami,South Beach,USA,Iced Latte,Beverages,Cold Coffee,5.75,2,11.5,0,11.5,8.5,73.9,App,CUST-01329,Gold,2,Summer,Sunny
TXN-0092,2024-05-30,Thursday,08:33,Morning Rush,STR-SEA-02,Seattle,Pike Place,USA,Birthday Cake Pop,Food,Snacks,1.75,1,1.75,0,1.75,1.2,68.6,Card,CUST-00324,Green,1,Spring,Windy
TXN-0093,2024-07-14,Sunday,12:37,Lunch,STR-LA-01,Los Angeles,Downtown,USA,Bottled Water,Merchandise,Drinks,2.45,2,4.9,0,4.9,4.1,83.7,Contactless,CUST-01046,Platinum,4,Summer,Sunny
TXN-0094,2024-08-26,Monday,09:28,Mid Morning,STR-SEA-01,Seattle,Capitol Hill,USA,Chai Tea Latte,Beverages,Tea,5.45,2,10.9,15,9.27,8.1,74.3,Contactless,CUST-02828,Gold,6,Summer,Rainy
TXN-0095,2024-08-21,Wednesday,10:30,Mid Morning,STR-NYC-02,New York,Brooklyn,USA,Chai Tea Latte,Beverages,Tea,5.45,1,5.45,0,5.45,4.05,74.3,Cash,CUST-02865,Platinum,2,Summer,Rainy
TXN-0096,2024-01-12,Friday,14:43,Afternoon,STR-NYC-01,New York,Manhattan,USA,Spinach Feta Wrap,Food,Sandwiches,5.75,1,5.75,10,5.17,3.85,67.0,Cash,CUST-00943,Platinum,2,Winter,Windy
TXN-0097,2024-06-29,Saturday,15:43,Afternoon,STR-LA-01,Los Angeles,Downtown,USA,Vanilla Latte,Beverages,Hot Coffee,5.95,2,11.9,0,11.9,8.7,73.1,App,CUST-01266,Platinum,6,Summer,Snowy
TXN-0098,2024-01-18,Thursday,08:18,Morning Rush,STR-SEA-01,Seattle,Capitol Hill,USA,Birthday Cake Pop,Food,Snacks,1.75,2,3.5,5,3.32,2.4,68.6,Card,CUST-02210,Green,2,Winter,Rainy
TXN-0099,2024-09-28,Saturday,17:16,Evening,STR-MIA-01,Miami,South Beach,USA,Bottled Water,Merchandise,Drinks,2.45,3,7.35,15,6.25,6.15,83.7,Cash,CUST-00472,Gold,9,Fall,Snowy
TXN-0100,2024-02-08,Thursday,09:43,Mid Morning,STR-SEA-02,Seattle,Pike Place,USA,Pike Place Roast,Beverages,Hot Coffee,3.65,2,7.3,15,6.21,5.6,76.7,App,CUST-01617,Platinum,4,Winter,Sunny
TXN-0101,2024-05-15,Wednesday,10:47,Mid Morning,STR-CHI-01,Chicago,The Loop,USA,Starbucks Tumbler,Merchandise,Drinkware,24.95,1,24.95,0,24.95,16.95,67.9,App,CUST-02765,Platinum,2,Spring,Cloudy
TXN-0102,2024-08-29,Thursday,20:20,Evening,STR-BOS-01,Boston,Back Bay,USA,Caramel Macchiato,Beverages,Hot Coffee,6.45,2,12.9,0,12.9,9.3,72.1,Contactless,CUST-02872,Green,6,Summer,Rainy
TXN-0103,2024-11-28,Thursday,07:02,Morning Rush,STR-CHI-01,Chicago,The Loop,USA,Vanilla Bean Scone,Food,Bakery,3.45,1,3.45,15,2.93,2.45,71.0,Card,CUST-02202,Green,1,Fall,Cloudy
TXN-0104,2024-07-17,Wednesday,20:44,Evening,STR-AUS-01,Austin,Downtown,USA,Birthday Cake Pop,Food,Snacks,1.75,1,1.75,0,1.75,1.2,68.6,Card,CUST-01700,Platinum,3,Summer,Sunny
TXN-0105,2024-09-07,Saturday,09:44,Mid Morning,STR-SEA-01,Seattle,Capitol Hill,USA,Vanilla Bean Scone,Food,Bakery,3.45,3,10.35,0,10.35,7.35,71.0,Cash,CUST-00407,Gold,3,Fall,Rainy
TXN-0106,2024-10-05,Saturday,09:07,Mid Morning,STR-MIA-01,Miami,South Beach,USA,Birthday Cake Pop,Food,Snacks,1.75,1,1.75,0,1.75,1.2,68.6,App,CUST-00208,Green,3,Fall,Rainy
TXN-0107,2024-05-04,Saturday,09:53,Mid Morning,STR-AUS-01,Austin,Downtown,USA,Americano,Beverages,Hot Coffee,3.45,2,6.9,0,6.9,5.4,78.3,Cash,CUST-00605,Green,2,Spring,Windy
TXN-0108,2024-01-02,Tuesday,08:08,Morning Rush,STR-AUS-01,Austin,Downtown,USA,Chai Tea Latte,Beverages,Tea,5.45,3,16.35,0,16.35,12.15,74.3,App,CUST-00540,Green,3,Winter,Sunny
TXN-0109,2024-07-02,Tuesday,06:16,Morning Rush,STR-NYC-01,New York,Manhattan,USA,Vanilla Latte,Beverages,Hot Coffee,5.95,1,5.95,0,5.95,4.35,73.1,App,CUST-00261,Gold,3,Summer,Snowy
TXN-0110,2024-08-17,Saturday,08:32,Morning Rush,STR-LA-02,Los Angeles,Santa Monica,USA,Mango Dragonfruit Lemonade,Beverages,Refreshers,5.45,1,5.45,10,4.91,4.25,78.0,Cash,CUST-01877,Green,3,Summer,Sunny
TXN-0111,2024-02-01,Thursday,11:06,Mid Morning,STR-MIA-01,Miami,South Beach,USA,Marshmallow Dream Bar,Food,Snacks,2.95,2,5.9,5,5.61,4.3,72.9,App,CUST-01320,Gold,2,Winter,Windy
TXN-0112,2024-03-16,Saturday,15:37,Afternoon,STR-AUS-01,Austin,Downtown,USA,Matcha Latte,Beverages,Hot Coffee,6.25,1,6.25,5,5.94,4.55,72.8,Cash,CUST-01859,Gold,3,Spring,Windy
